,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,dist_to_ven
3121,3122,032cb3b9b254ab1d42c7,4658ab6c1cf208b130c8,b85143bf51323b72e53c,23f61cc6faeba892d94a,Darien Lake Pac Premier Parking - godsmack,Darien Lake Performing Arts Center E-Z Out Parking,MISC,PARKING,PARKING,Darien Lake Pac Premier Parking - godsmack,THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%DARIEN LAKE PAC%SAT JULY 26 2008 6:00PM,1,15.0,TicketFast,2008-07-26 22:00:00,2008-07-26,2008-05-31,2008-07-14 00:00:00,2008-07-13,2008-07-14,EST,DARIEN CENTER,NEW YORK,14040,T ,N ,Buffalo,23f61cc6faeba892d94a,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,3.0
3122,3123,0d4056259051d140883b,02fee4e221f610d8d7bd,b85143bf51323b72e53c,1bfbd0754afc2f89505a,Premier Parking: Tony Bennett,Chevrolet Theatre Premier Parking,MISC,PARKING,PARKING,Premier Parking: Tony Bennett,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%TONY BENNETT PARKING%CHEVROLET THEATRE%SAT FEB 21, 2009 7:30PM",1,15.0,TicketFast,2009-02-22 00:30:00,2009-02-21,2008-12-15,2008-12-15 00:00:00,2008-12-15,2008-12-23,EST,WALLINGFORD,CONNECTICUT,06492,T ,N ,Boston,1bfbd0754afc2f89505a,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,15.0
3132,3133,b881f94710ec14fea176,34ad0e9254b8f7d1cbe0,243744d7698be799579c,e09d8356366649a58955,Tabernacle Parking: Coheed And Cambria,Tabernacle Parking,MISC,PARKING,PARKING,Tabernacle Parking: Coheed And Cambria,PARKING PASS-PARKING ONLY%COHEED AND CAMBRIA%CENTRAL PARKING%REDEEM UPON EXIT%ENTER AT LUCKIE & CONE%TUE NOV 20 2007 7:30PM,1,9.0,TicketFast,2007-11-21 00:30:00,2007-11-20,2007-09-07,2007-11-13 00:00:00,2007-11-13,2007-11-13,EST,ATLANTA,GEORGIA,30303,T ,N ,Atlanta,e09d8356366649a58955,62.0,62500.0,Graduate School,Missing,Missing,1.0,0.0,1.0,1.0,Sales Service,158.1888544891641
3149,3150,76e9ddd6e791ad4aeb67,002d7347ccac23f064b3,b85143bf51323b72e53c,88e5397e89793bf4d8e0,Premier Parking: 311 & snoop dogg,Hollywood Casino Amphitheatre Chicago VIP Parking,MISC,PARKING,PARKING,Premier Parking: 311 & snoop dogg,**PREMIER PARKING ONLY**%311 / SNOOP DOGG%TICKET VALID ONLY FOR%***PREMIER PARKING***%FIRST MIDWEST BANK AMP%TUE JUL 8 2008 6:30PM,1,30.0,ISPU,2008-07-08 23:30:00,2008-07-08,2008-04-04,2008-05-22 00:00:00,2008-05-22,2008-07-05,CST,TINLEY PARK,ILLINOIS,60477,T ,N ,Chicago,88e5397e89793bf4d8e0,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,30.0
3151,3152,d500addb3e35ef779673,b88dce3cd1001c084584,b85143bf51323b72e53c,75be124060fb6c7b75c1,Montalvo On-site Parking: The Wallflowers,Villa Montalvo Parking,MISC,PARKING,PARKING,Montalvo On-site Parking: The Wallflowers,TICKET VALID FOR%PARKING ONLY%GOOD ON 6/17/09 ONLY%ON-SITE PARKING%MONTALVO GARDEN THEATRE%WED JUN 17 2009 7:00 PM,1,25.0,Mail,2009-06-18 02:00:00,2009-06-17,2009-05-03,2009-05-25 00:00:00,2009-05-24,2009-05-28,PST,SARATOGA,CALIFORNIA,95070,T ,N ,N. California,75be124060fb6c7b75c1,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,27.0
3154,3155,638d377f0c84c6891d09,43f0436b905bfa7c2eec,b85143bf51323b72e53c,34d14af62024beb24810,Premier Parking : andrea bocelli,XFINITY Center Mansfield Premier Parking,MISC,PARKING,PARKING,Premier Parking : andrea bocelli,"VALID FOR PARKING ONLY%PREMIER PARKING%TWEETER CTR, MANSFIELD%ANDREA BOCELLI%LOT OPENS 3 HOURS PRIOR%FRI JUN 16, 2006 8:00PM",1,35.0,Mail,2006-06-17 00:00:00,2006-06-16,2006-03-27,2006-05-24 00:00:00,2006-05-24,2006-05-30,EST,MANSFIELD,MASSACHUSETTS,02048,T ,N ,Boston,34d14af62024beb24810,48.0,35000.0,High School,High School,Missing,2.0,1.0,0.5615384615384615,1.0,Craftsman Blue Collar,158.1888544891641
3169,3170,2d892cc8525697abd2b8,34ad0e9254b8f7d1cbe0,b85143bf51323b72e53c,7497b891f35ff57bdbf3,Tabernacle Parking: Flogging Molly,Tabernacle Parking,MISC,PARKING,PARKING,Tabernacle Parking: Flogging Molly,PARKING PASS-PARKING ONLY%FLOGGING MOLLY%CENTRAL PARKING%REDEEM UPON EXIT%ENTER AT LUCKIE & CONE%THU MAR 06 2008  8:00PM,1,9.0,TicketFast,2008-03-07 01:00:00,2008-03-06,2007-12-08,2008-02-14 00:00:00,2008-02-14,2008-02-14,EST,ATLANTA,GEORGIA,30303,T ,N ,Atlanta,7497b891f35ff57bdbf3,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,106.0
3190,3191,89875a6de7820bcc0dd8,002d7347ccac23f064b3,b85143bf51323b72e53c,097b5cc21a7506303330,Premier Parking: Rockstar Energy Mayhem Festival,Hollywood Casino Amphitheatre Chicago VIP Parking,MISC,PARKING,PARKING,Premier Parking: Rockstar Energy Mayhem Festival,**PREMIER PARKING ONLY**%MAYHEM FESTIVAL%TICKET VALID ONLY FOR%***PREMIER PARKING***%FIRST MIDWEST BANK AMP%SUN AUG 10 2008 2:00PM,1,30.0,Mail,2008-08-10 19:00:00,2008-08-10,2008-05-03,2008-05-03 00:00:00,2008-05-02,2008-05-06,CST,TINLEY PARK,ILLINOIS,60477,T ,N ,Chicago,097b5cc21a7506303330,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,381.0
3196,3197,9a2cb6e62509112a1169,3f510718b680022e6c39,b85143bf51323b72e53c,7db30a794cba8322506e,Verizon Wireless Premier Parking: Kroq Weenie Roast Y Fiesta 2008,Verizon Wireless Amph. Irvine Premier Parking,MISC,PARKING,PARKING,Verizon Wireless Premier Parking: Kroq Weenie Roast Y Fiesta 2008,THIS TICKET IS VALID%FOR PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%VERIZON AMPHITHEATER%SAT MAY 17 2008 12:00PM,1,20.0,TicketFast,2008-05-17 19:00:00,2008-05-17,2008-05-14,2008-05-15 00:00:00,2008-05-14,2008-05-16,PST,IRVINE,CALIFORNIA,92618,T ,N ,Los Angeles,7db30a794cba8322506e,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,947.0
3210,3211,2780724cee738fc00365,8e80b72ac55578b0e6bb,b85143bf51323b72e53c,7a7e4b778b8ece49c4f5,Premier Parking: Hank Williams Jr / montgomery gentry,Starwood Amphitheatre Nash. Premier Parking,MISC,PARKING,PARKING,Premier Parking: Hank Williams Jr / montgomery gentry,"THIS TICKET IS VALID FOR%PREMIER PARKING ONLY%LOT #5 (SEP. 2, 2006)%HANK WILLIAMS JR.%STARWOOD AMPHITHEATRE%SAT SEP 2 2006 7:30 PM",1,15.0,UPS,2006-09-03 00:30:00,2006-09-02,2006-06-17,2006-08-21 00:00:00,2006-08-21,2006-08-22,CST,NASHVILLE,TENNESSEE,37013,T ,N ,Nashville,7a7e4b778b8ece49c4f5,44.36904761904762,86396.1038961039,Missing,Missing,Missing,1.0,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,158.1888544891641
